experiment,acid_type,true_buffer_count,step,current_pH,target_pH,abs_pH_error,posterior_mean_std,posterior_max_std,matched_pka_mae,matched_pka_rmse,matched_pka_max_abs_error,matched_within_0p5_frac,matched_within_1p0_frac,all_true_pkas_within_0p5,all_true_pkas_within_1p0,effective_pka_mae,unused_slot_mole_fraction,success_if_stop_now,previous_prediction_abs_error,posterior_pkas,posterior_stds,posterior_moles,effective_pkas,true_pkas,matched_slot_indices,unused_slot_indices
2,monoprotic,1,6,5.81,6.93,1.12,0.21448320918992372,0.23600802322784195,0.12806701210122462,0.12806701210122462,0.12806701210122462,1.0,1.0,1.0,1.0,0.13152568764238826,0.5398702586413072,0.0,1.418078613877296,"[4.6826, 4.4581, 4.6631]","[0.2360, 0.1878, 0.2197]","[0.3778, 0.4054, 0.0978]","[4.6764, 4.4615, 4.6549]",[4.3300],[1],"[0, 2]"
2,monoprotic,1,7,6.25,6.93,0.6799999999999997,0.2189931609635364,0.2461771053581327,0.12884892137384352,0.12884892137384352,0.12884892137384352,1.0,1.0,1.0,1.0,0.1316532612513983,0.5401991642110723,0.0,1.848992484388873,"[4.6768, 4.4588, 4.6544]","[0.2462, 0.1881, 0.2227]","[0.3776, 0.4052, 0.0984]","[4.6755, 4.4617, 4.6535]",[4.3300],[1],"[0, 2]"
2,monoprotic,1,8,10.51,6.93,3.58,0.21879029638941375,0.24344558605018649,0.11680506656475309,0.11680506656475309,0.11680506656475309,1.0,1.0,1.0,1.0,0.12970583203148944,0.5398078388694024,0.0,6.101783415526151,"[4.6740, 4.4468, 4.6610]","[0.2434, 0.1927, 0.2203]","[0.3777, 0.4058, 0.0983]","[4.6751, 4.4597, 4.6546]",[4.3300],[1],"[0, 2]"
2,monoprotic,1,9,7.07,6.93,0.14000000000000057,0.21928997477580844,0.23757586861655874,0.1181300416132034,0.1181300416132034,0.1181300416132034,1.0,1.0,1.0,1.0,0.12992623385587,0.5407785019309864,0.0,2.666392089268193,"[4.6766, 4.4481, 4.6540]","[0.2376, 0.1948, 0.2255]","[0.3778, 0.4047, 0.0988]","[4.6755, 4.4599, 4.6535]",[4.3300],[1],"[0, 2]"
2,monoprotic,1,10,6.25,6.93,0.6799999999999997,0.21734597487304252,0.2408439609431684,0.14024974034783355,0.14024974034783355,0.14024974034783355,1.0,1.0,1.0,1.0,0.1335059737754678,0.5402047953793919,0.0,1.85027772677131,"[4.6919, 4.4702, 4.6408]","[0.2408, 0.1904, 0.2208]","[0.3771, 0.4057, 0.0996]","[4.6779, 4.4635, 4.6514]",[4.3300],[1],"[0, 2]"
2,monoprotic,1,11,6.47,6.93,0.45999999999999996,0.2164414351304138,0.24422179035046315,0.14594133425506506,0.14594133425506506,0.14594133425506506,1.0,1.0,1.0,1.0,0.13443982092776263,0.5396209555839434,0.0,2.0665910602826623,"[4.6879, 4.4759, 4.6241]","[0.2442, 0.1867, 0.2184]","[0.3760, 0.4053, 0.0991]","[4.6772, 4.4644, 4.6488]",[4.3300],[1],"[0, 2]"
2,monoprotic,1,12,6.89,6.93,0.040000000000000036,0.2146197937520137,0.24686421296965205,0.14215939955386947,0.14215939955386947,0.14215939955386947,1.0,1.0,1.0,1.0,0.13382944824302356,0.5400961243511779,1.0,2.4852500212006268,"[4.7150, 4.4722, 4.6296]","[0.2469, 0.1834, 0.2136]","[0.3746, 0.4033, 0.0991]","[4.6813, 4.4638, 4.6496]",[4.3300],[1],"[0, 2]"
4,triprotic,3,0,1.94,7.37,5.43,0.20000000000000004,0.2,2.396133012040931,2.6929834422341523,3.5835245987277276,0.0,0.3333333333333333,0.0,0.0,2.396133012040931,0.0,0.0,,"[3.7960, 2.5656, 2.6100]","[0.2000, 0.2000, 0.2000]","[0.1511, 0.2053, 0.3946]","[3.7960, 2.5656, 2.6100]","[3.2687, 5.5119, 7.3795]","[0, 1, 2]",[]
4,triprotic,3,1,3.9,7.37,3.47,0.19502095769273756,0.20166797134799488,2.3958856252341776,2.690445720609877,3.5839085656633896,0.0,0.3333333333333333,0.0,0.0,2.3960865103320166,0.0,0.0,1.085777426813729,"[3.7956, 2.5571, 2.6197]","[0.1932, 0.2017, 0.1902]","[0.1512, 0.2053, 0.3949]","[3.7959, 2.5643, 2.6116]","[3.2687, 5.5119, 7.3795]","[0, 1, 2]",[]
4,triprotic,3,2,5.27,7.37,2.1000000000000005,0.19322204383374175,0.20151661446106986,2.396301303960001,2.6934017731927193,3.5958433653940314,0.0,0.3333333333333333,0.0,0.0,2.396147144882609,0.0,0.0,2.319163508927449,"[3.7837, 2.5626, 2.6249]","[0.1953, 0.2015, 0.1829]","[0.1517, 0.2052, 0.3948]","[3.7940, 2.5651, 2.6125]","[3.2687, 5.5119, 7.3795]","[0, 1, 2]",[]
4,triprotic,3,3,5.84,7.37,1.5300000000000002,0.1947988645669951,0.20269245696775975,2.4024407612668064,2.7011719475643687,3.600902840327325,0.0,0.3333333333333333,0.0,0.0,2.3971476720044866,0.0,0.0,2.8053382373508065,"[3.7786, 2.5653, 2.6088]","[0.1993, 0.2027, 0.1824]","[0.1517, 0.2051, 0.3945]","[3.7932, 2.5656, 2.6098]","[3.2687, 5.5119, 7.3795]","[0, 1, 2]",[]
4,triprotic,3,4,6.49,7.37,0.8799999999999999,0.19736935038876835,0.21170257265617737,2.401608341857911,2.7020581039419582,3.5954559942238626,0.0,0.3333333333333333,0.0,0.0,2.3970333808122484,0.0,0.0,3.374617249015719,"[3.7840, 2.5736, 2.5976]","[0.1955, 0.2117, 0.1849]","[0.1513, 0.2047, 0.3945]","[3.7940, 2.5669, 2.6080]","[3.2687, 5.5119, 7.3795]","[0, 1, 2]",[]
4,triprotic,3,5,6.87,7.37,0.5,0.1959011889213433,0.20606606567548905,2.399900086496714,2.696412662206375,3.5861194641376803,0.0,0.3333333333333333,0.0,0.0,2.3967431842862905,0.0,0.0,3.700472870031372,"[3.7934, 2.5625, 2.6045]","[0.2004, 0.2061, 0.1812]","[0.1521, 0.2044, 0.3946]","[3.7956, 2.5651, 2.6091]","[3.2687, 5.5119, 7.3795]","[0, 1, 2]",[]
4,triprotic,3,6,7.39,7.37,0.019999999999999574,0.19550880088300668,0.20288446312328962,2.3988673946588848,2.698424507741112,3.593831029036245,0.0,0.3333333333333333,0.0,0.0,2.3965720679977665,0.0,1.0,4.099572700317949,"[3.7857, 2.5716, 2.6062]","[0.2029, 0.1968, 0.1869]","[0.1524, 0.2047, 0.3939]","[3.7943, 2.5666, 2.6094]","[3.2687, 5.5119, 7.3795]","[0, 1, 2]",[]
6,monoprotic,1,0,2.45,3.29,0.8399999999999999,0.20000000000000004,0.2,0.3513340547533663,0.3513340547533663,0.3513340547533663,1.0,1.0,1.0,1.0,0.3513340547533663,0.8462385498076406,0.0,,"[3.4068, 2.6387, 3.4203]","[0.2000, 0.2000, 0.2000]","[0.1608, 0.0765, 0.2604]","[3.4068, 2.6387, 3.4203]",[2.9900],[1],"[0, 2]"
6,monoprotic,1,1,2.51,3.29,0.7800000000000002,0.1723474073576665,0.19860623768781435,0.18832060721825972,0.18832060721825972,0.18832060721825972,1.0,1.0,1.0,1.0,0.3247938947063278,0.8461269462317039,0.0,0.03331125875934937,"[3.6215, 2.8017, 3.4249]","[0.1303, 0.1881, 0.1986]","[0.1607, 0.0765, 0.2600]","[3.4442, 2.6652, 3.4210]",[2.9900],[1],"[0, 2]"
6,monoprotic,1,2,2.86,3.29,0.43000000000000016,0.17250051100624922,0.20700291244013835,0.18965989239701964,0.18965989239701964,0.18965989239701964,1.0,1.0,1.0,1.0,0.3248511169163364,0.845741863856233,0.0,0.18894575130194413,"[3.6168, 2.8003, 3.4099]","[0.1275, 0.1830, 0.2070]","[0.1609, 0.0768, 0.2599]","[3.4435, 2.6651, 3.4186]",[2.9900],[1],"[0, 2]"
6,monoprotic,1,3,3.03,3.29,0.26000000000000023,0.17826908410957962,0.21442814916108127,0.18903620933503884,0.18903620933503884,0.18903620933503884,1.0,1.0,1.0,1.0,0.3249907502623852,0.8461750792131265,0.0,0.2982783037889747,"[3.6119, 2.8010, 3.4270]","[0.1297, 0.1907, 0.2144]","[0.1609, 0.0765, 0.2600]","[3.4425, 2.6650, 3.4213]",[2.9900],[1],"[0, 2]"
6,monoprotic,1,4,3.14,3.29,0.1499999999999999,0.17945804040382204,0.22087176542498493,0.1852887155718177,0.1852887155718177,0.1852887155718177,1.0,1.0,1.0,1.0,0.32443573273878323,0.8458671579276613,0.0,0.37326423927210284,"[3.6039, 2.8047, 3.4374]","[0.1251, 0.1924, 0.2209]","[0.1611, 0.0766, 0.2595]","[3.4413, 2.6656, 3.4229]",[2.9900],[1],"[0, 2]"
6,monoprotic,1,5,3.2,3.29,0.08999999999999986,0.18023222096635894,0.23036358745101318,0.17865931791161493,0.17865931791161493,0.17865931791161493,1.0,1.0,1.0,1.0,0.3231745680567335,0.8464943815920648,1.0,0.4139019891619684,"[3.6049, 2.8113, 3.4103]","[0.1236, 0.1868, 0.2304]","[0.1615, 0.0762, 0.2590]","[3.4415, 2.6668, 3.4187]",[2.9900],[1],"[0, 2]"
3,monoprotic,1,0,1.6,9.97,8.370000000000001,0.20000000000000004,0.2,0.215010497055661,0.215010497055661,0.215010497055661,1.0,1.0,1.0,1.0,0.215010497055661,0.3604669670930963,0.0,,"[2.9760, 2.1250, 3.1264]","[0.2000, 0.2000, 0.2000]","[0.1983, 0.4006, 0.0275]","[2.9760, 2.1250, 3.1264]",[2.3400],[1],"[0, 2]"
3,monoprotic,1,1,3.3,9.97,6.670000000000001,0.20280042194188808,0.20366887797056926,0.20229828048969178,0.20229828048969178,0.20229828048969178,1.0,1.0,1.0,1.0,0.21297826758589888,0.3607807675478967,0.0,0.8457079561892895,"[2.9810, 2.1377, 3.1262]","[0.2037, 0.2034, 0.2013]","[0.1986, 0.4003, 0.0274]","[2.9768, 2.1270, 3.1264]",[2.3400],[1],"[0, 2]"
3,monoprotic,1,2,12.4,9.97,2.4299999999999997,0.20641048918356006,0.21142560567566845,0.20253816724903162,0.20253816724903162,0.20253816724903162,1.0,1.0,1.0,1.0,0.213025477285274,0.36117942664534014,0.0,9.642913032881916,"[2.9784, 2.1375, 3.1113]","[0.2114, 0.2071, 0.2007]","[0.1988, 0.4004, 0.0275]","[2.9764, 2.1270, 3.1240]",[2.3400],[1],"[0, 2]"
3,monoprotic,1,3,11.96,9.97,1.9900000000000002,0.20967835341697758,0.2150190765612363,0.20577903755215488,0.20577903755215488,0.20577903755215488,1.0,1.0,1.0,1.0,0.21355518618957348,0.36130556426094373,0.0,9.34906815298833,"[2.9888, 2.1342, 3.1033]","[0.2073, 0.2150, 0.2067]","[0.1988, 0.4005, 0.0277]","[2.9781, 2.1264, 3.1227]",[2.3400],[1],"[0, 2]"
3,monoprotic,1,4,3.34,9.97,6.630000000000001,0.21311626154323307,0.21761202177399067,0.20732558290586045,0.20732558290586045,0.20732558290586045,1.0,1.0,1.0,1.0,0.21380279874711938,0.36222531405845265,0.0,0.8644151679798959,"[2.9772, 2.1327, 3.1082]","[0.2109, 0.2176, 0.2108]","[0.1993, 0.3997, 0.0277]","[2.9762, 2.1262, 3.1236]",[2.3400],[1],"[0, 2]"
3,monoprotic,1,5,11.38,9.97,1.4100000000000001,0.2121031857114609,0.2218517400200287,0.21103384234708988,0.21103384234708988,0.21103384234708988,1.0,1.0,1.0,1.0,0.21438877276721113,0.36178219970450914,0.0,8.833433247050271,"[2.9881, 2.1290, 3.1295]","[0.2044, 0.2219, 0.2101]","[0.1991, 0.3998, 0.0276]","[2.9780, 2.1256, 3.1269]",[2.3400],[1],"[0, 2]"
3,monoprotic,1,6,4.45,9.97,5.5200000000000005,0.21853901499997805,0.2259400616057954,0.21141280877827473,0.21141280877827473,0.21141280877827473,1.0,1.0,1.0,1.0,0.21445082074609667,0.3615415182748678,0.0,1.9358105243183674,"[2.9936, 2.1286, 3.1370]","[0.2157, 0.2259, 0.2139]","[0.1992, 0.4009, 0.0278]","[2.9788, 2.1255, 3.1281]",[2.3400],[1],"[0, 2]"
3,monoprotic,1,7,11.0,9.97,1.0299999999999994,0.21897678391198316,0.22635495082154025,0.21560985873048777,0.21560985873048777,0.21560985873048777,1.0,1.0,1.0,1.0,0.21510368980209016,0.36098388712444474,0.0,8.46802679519169,"[2.9968, 2.1244, 3.1357]","[0.2108, 0.2264, 0.2198]","[0.1986, 0.4008, 0.0279]","[2.9793, 2.1249, 3.1279]",[2.3400],[1],"[0, 2]"
3,monoprotic,1,8,10.58,9.97,0.6099999999999994,0.22005630657402322,0.22977715191608128,0.1927214737917322,0.1927214737917322,0.1927214737917322,1.0,1.0,1.0,1.0,0.21155933993493603,0.3601811265258103,0.0,8.05626287699677,"[3.0015, 2.1473, 3.1198]","[0.2131, 0.2298, 0.2173]","[0.1987, 0.4012, 0.0271]","[2.9801, 2.1284, 3.1254]",[2.3400],[1],"[0, 2]"
3,monoprotic,1,9,4.45,9.97,5.5200000000000005,0.220356898053354,0.23306859118977905,0.18922390778372034,0.18922390778372034,0.18922390778372034,1.0,1.0,1.0,1.0,0.21103388598632788,0.3595316764784697,0.0,1.9330827787518503,"[3.0074, 2.1508, 3.1275]","[0.2157, 0.2331, 0.2123]","[0.1984, 0.4007, 0.0266]","[2.9810, 2.1290, 3.1266]",[2.3400],[1],"[0, 2]"
3,monoprotic,1,10,9.85,9.97,0.120000000000001,0.21735102310053755,0.2225790873327774,0.19000071935842255,0.19000071935842255,0.19000071935842255,1.0,1.0,1.0,1.0,0.21110384404847915,0.35948502302580726,0.0,7.328040341287851,"[3.0179, 2.1500, 3.1178]","[0.2117, 0.2226, 0.2178]","[0.1984, 0.4004, 0.0263]","[2.9827, 2.1289, 3.1251]",[2.3400],[1],"[0, 2]"
3,monoprotic,1,11,10.58,9.97,0.6099999999999994,0.21725556468783971,0.23144199179837507,0.19050351644625163,0.19050351644625163,0.19050351644625163,1.0,1.0,1.0,1.0,0.21122365992207515,0.35851406235218575,0.0,8.053320476710796,"[2.9935, 2.1495, 3.1069]","[0.2069, 0.2314, 0.2134]","[0.1972, 0.4005, 0.0266]","[2.9788, 2.1288, 3.1234]",[2.3400],[1],"[0, 2]"
3,monoprotic,1,12,10.37,9.97,0.3999999999999986,0.20820646336827076,0.21968624729872485,0.2110977333515036,0.2110977333515036,0.2110977333515036,1.0,1.0,1.0,1.0,0.21439714708373492,0.3572853385991637,0.0,7.846929515134542,"[2.9925, 2.1289, 3.1081]","[0.2031, 0.2197, 0.2018]","[0.1966, 0.4011, 0.0264]","[2.9787, 2.1256, 3.1235]",[2.3400],[1],"[0, 2]"
3,monoprotic,1,13,9.97,9.97,0.0,0.2037638139776997,0.2150647373847478,0.22887403722218558,0.22887403722218558,0.22887403722218558,1.0,1.0,1.0,1.0,0.2171959200996314,0.3571408832888004,1.0,7.4500870101898915,"[3.0136, 2.1111, 3.1106]","[0.2053, 0.2151, 0.1909]","[0.1969, 0.4012, 0.0260]","[2.9820, 2.1228, 3.1239]",[2.3400],[1],"[0, 2]"
8,diprotic,2,0,2.07,3.99,1.9200000000000004,0.20000000000000004,0.2,0.4228229130559753,0.4547301996114737,0.5901559302209982,0.5,1.0,0.0,1.0,0.4228229130559753,0.3345056637268279,0.0,,"[4.3755, 4.0544, 2.4737]","[0.2000, 0.2000, 0.2000]","[0.2378, 0.2555, 0.2704]","[4.3755, 4.0544, 2.4737]","[3.0639, 4.6310]","[0, 2]",[1]
8,diprotic,2,1,2.99,3.99,1.0,0.2005042668446674,0.2066936135396238,0.41443145989050034,0.4431865101432686,0.5714691872874482,0.5,1.0,0.0,1.0,0.42146808544838676,0.33377012904309233,0.0,0.36960312210954704,"[4.3736, 4.0416, 2.4924]","[0.1992, 0.2067, 0.1956]","[0.2382, 0.2548, 0.2705]","[4.3752, 4.0524, 2.4767]","[3.0639, 4.6310]","[0, 2]",[1]
8,diprotic,2,2,3.26,3.99,0.7300000000000004,0.1950118182786662,0.20429674068385567,0.4066170911510667,0.4379296055420474,0.5692359110768623,0.5,1.0,0.0,1.0,0.4201856250514453,0.3334543873620766,0.0,0.1675084894616159,"[4.3870, 4.0294, 2.4946]","[0.1967, 0.2043, 0.1840]","[0.2382, 0.2548, 0.2711]","[4.3773, 4.0504, 2.4771]","[3.0639, 4.6310]","[0, 2]",[1]
8,diprotic,2,3,3.52,3.99,0.4700000000000002,0.169202314613359,0.17220564411216902,0.2199152547787746,0.2885582626072914,0.40673910666745927,1.0,1.0,1.0,1.0,0.3891315441187424,0.33500903159743894,0.0,0.04036510023754092,"[4.5979, 4.2319, 2.6571]","[0.1722, 0.1649, 0.1705]","[0.2378, 0.2563, 0.2710]","[4.4124, 4.0841, 2.5042]","[3.0639, 4.6310]","[0, 2]",[1]
8,diprotic,2,4,3.71,3.99,0.28000000000000025,0.17343030187131495,0.1773355741407945,0.22276794468197214,0.28788143865712706,0.40511422390221563,1.0,1.0,1.0,1.0,0.3897661522530269,0.33569007376148896,0.0,0.1684836715366691,"[4.5905, 4.2222, 2.6587]","[0.1773, 0.1694, 0.1736]","[0.2375, 0.2568, 0.2706]","[4.4109, 4.0823, 2.5043]","[3.0639, 4.6310]","[0, 2]",[1]
8,diprotic,2,5,3.83,3.99,0.16000000000000014,0.17665015898216752,0.18053231033429581,0.21465627294512335,0.28936543129285996,0.40870533198074854,1.0,1.0,1.0,1.0,0.38861301425142303,0.335455902961745,0.0,0.2722587336739526,"[4.6104, 4.2253, 2.6551]","[0.1800, 0.1694, 0.1805]","[0.2378, 0.2567, 0.2708]","[4.4141, 4.0829, 2.5035]","[3.0639, 4.6310]","[0, 2]",[1]
8,diprotic,2,6,3.9,3.99,0.0900000000000003,0.17703770065224125,0.186087662667426,0.20574384848058602,0.27908728176259,0.39431526639440717,1.0,1.0,1.0,1.0,0.3871847623568663,0.33575893121593353,1.0,0.3313928483752533,"[4.6138, 4.2257, 2.6695]","[0.1861, 0.1700, 0.1750]","[0.2384, 0.2570, 0.2701]","[4.4144, 4.0829, 2.5061]","[3.0639, 4.6310]","[0, 2]",[1]
5,monoprotic,1,0,2.48,2.56,0.08000000000000007,0.20000000000000004,0.2,0.27187161839495033,0.27187161839495033,0.27187161839495033,1.0,1.0,1.0,1.0,0.27187161839495033,0.3647475221983749,1.0,,"[4.6281, 4.5164, 5.8674]","[0.2000, 0.2000, 0.2000]","[0.3530, 0.1446, 0.0581]","[4.6281, 4.5164, 5.8674]",[4.9000],[0],"[1, 2]"
5,monoprotic,1,1,3.34,2.56,0.7799999999999998,0.20107727836700537,0.20984681346359998,0.26245238368388346,0.26245238368388346,0.26245238368388346,1.0,1.0,1.0,1.0,0.27036468297792204,0.3643609248567416,0.0,0.2511810903996228,"[4.6375, 4.5269, 5.8804]","[0.2028, 0.2098, 0.1906]","[0.3532, 0.1446, 0.0579]","[4.6296, 4.5181, 5.8695]",[4.9000],[0],"[1, 2]"
5,monoprotic,1,2,3.16,2.56,0.6000000000000001,0.20651147417900662,0.21984348928715403,0.2664214761945516,0.2664214761945516,0.2664214761945516,1.0,1.0,1.0,1.0,0.2710010781781991,0.3649002409268229,0.0,0.19828136622905745,"[4.6336, 4.5365, 5.8796]","[0.2041, 0.2198, 0.1955]","[0.3530, 0.1447, 0.0581]","[4.6290, 4.5196, 5.8694]",[4.9000],[0],"[1, 2]"
5,monoprotic,1,3,2.96,2.56,0.3999999999999999,0.20979302459925053,0.21824359027265464,0.2800483935985367,0.2800483935985367,0.2800483935985367,1.0,1.0,1.0,1.0,0.27316029215222937,0.36529514739395685,0.0,0.14131579086184498,"[4.6200, 4.5429, 5.8759]","[0.2153, 0.2182, 0.1959]","[0.3531, 0.1449, 0.0583]","[4.6268, 4.5206, 5.8688]",[4.9000],[0],"[1, 2]"
5,monoprotic,1,4,2.76,2.56,0.19999999999999973,0.09588004750326029,0.12992165301077718,0.2633558317845912,0.2633558317845912,0.2633558317845912,1.0,1.0,1.0,1.0,0.1463068211230638,0.7365841848321671,0.0,0.08480150461196878,"[5.2910, 4.6366, 6.1166]","[0.0529, 0.1048, 0.1299]","[0.3486, 0.1445, 0.0554]","[4.7537, 4.5380, 5.9108]",[4.9000],[1],"[0, 2]"
5,monoprotic,1,5,2.6,2.56,0.040000000000000036,0.09732351139182234,0.1325001079041609,0.26206708049858385,0.26206708049858385,0.26206708049858385,1.0,1.0,1.0,1.0,0.1413032241414518,0.7365432618424604,1.0,0.027410870790481656,"[5.3185, 4.6379, 6.1209]","[0.0544, 0.1051, 0.1325]","[0.3488, 0.1446, 0.0554]","[4.7587, 4.5382, 5.9114]",[4.9000],[1],"[0, 2]"
11,diprotic,2,0,3.34,5.21,1.87,0.20000000000000004,0.2,1.3025199180322102,1.3195980576463315,1.5141348912107047,0.0,0.0,0.0,0.0,1.3025199180322102,0.3828505981821391,0.0,,"[2.6245, 2.5217, 4.6897]","[0.2000, 0.2000, 0.2000]","[0.2943, 0.4747, 0.4709]","[2.6245, 2.5217, 4.6897]","[3.7154, 6.2039]","[0, 2]",[1]
11,diprotic,2,1,3.63,5.21,1.58,0.2021696605616554,0.20586428419840888,1.2975747584995636,1.3150121607945835,1.511014982315129,0.0,0.0,0.0,0.0,1.3017313309137755,0.38294990951917357,0.0,1.3786132483463733,"[2.6312, 2.5120, 4.6928]","[0.2054, 0.1953, 0.2059]","[0.2943, 0.4748, 0.4708]","[2.6255, 2.5201, 4.6902]","[3.7154, 6.2039]","[0, 2]",[1]
11,diprotic,2,2,4.31,5.21,0.9000000000000004,0.19994808954471402,0.20343695757332397,1.298608046794353,1.3162177086525346,1.5131918238407174,0.0,0.0,0.0,0.0,1.301891911102736,0.3829674930987524,0.0,1.8222705139219757,"[2.6313, 2.5196, 4.6907]","[0.1994, 0.1970, 0.2034]","[0.2941, 0.4747, 0.4707]","[2.6256, 2.5214, 4.6899]","[3.7154, 6.2039]","[0, 2]",[1]
11,diprotic,2,3,4.93,5.21,0.28000000000000025,0.19967378619696463,0.2042398436522035,1.2955852796812286,1.312772850726087,1.5073194070126767,0.0,0.0,0.0,0.0,1.301408912938957,0.3830920806720935,0.0,2.333101555071771,"[2.6315, 2.5239, 4.6965]","[0.1991, 0.1957, 0.2042]","[0.2936, 0.4747, 0.4708]","[2.6256, 2.5220, 4.6908]","[3.7154, 6.2039]","[0, 2]",[1]
11,diprotic,2,4,5.18,5.21,0.03000000000000025,0.1985109006078937,0.20784587500368748,1.2965791798094504,1.3132991787082926,1.5054742809500201,0.0,0.0,0.0,0.0,1.3015627497569366,0.383201594269211,1.0,2.547067811777815,"[2.6277, 2.5215, 4.6984]","[0.2078, 0.1948, 0.1929]","[0.2932, 0.4750, 0.4714]","[2.6250, 2.5217, 4.6911]","[3.7154, 6.2039]","[0, 2]",[1]
